"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1700028P14Rik",0.00370985062969833,0.0337078651685393,0.00136986301369863,0,0,0,0,0,0.4,0,0
"1700029I15Rik",0.0015620423703993,0.00561797752808989,0.010958904109589,0.00884955752212389,0,0.00591715976331361,0.00213675213675214,0,0,0,0
"1700029J07Rik",0.00146441472224934,0,0.00273972602739726,0.00884955752212389,0,0.029585798816568,0.0106837606837607,0.0135135135135135,0.08,0,0
"1700030J22Rik",0.00312408474079859,0.0168539325842697,0.00136986301369863,0.0176991150442478,0,0,0.000712250712250712,0,0.14,0.00497512437810945,0
"1700030K09Rik",0.00878648833349605,0.0168539325842697,0.0123287671232877,0.0353982300884956,0,0.029585798816568,0.0327635327635328,0.0135135135135135,0.06,0.00497512437810945,0.0256410256410256
"1700034H15Rik",0.000878648833349605,0,0.00547945205479452,0,0,0,0.00213675213675214,0,0,0.00497512437810945,0
"1700034I23Rik",0.00048813824074978,0,0.00136986301369863,0,0,0,0,0,0,0,0
"1700034P13Rik",0.000781021185199648,0,0,0,0,0,0,0.00675675675675676,0,0,0
"1700037C18Rik",0.00624816948159719,0.0168539325842697,0.0123287671232877,0.0176991150442478,0,0.029585798816568,0.0163817663817664,0.00675675675675676,0.12,0.00497512437810945,0.0256410256410256
"1700037H04Rik",0.0187445084447916,0.792134831460674,0.117808219178082,0.185840707964602,0.015625,0.0591715976331361,0.0277777777777778,0.0135135135135135,0.12,0.0646766169154229,0.0598290598290598
"1700040D17Rik",0.00322171238894855,0.0224719101123595,0.00410958904109589,0.00884955752212389,0,0,0.00284900284900285,0,0.02,0,0
"1700040L02Rik",0,0,0.00410958904109589,0.00884955752212389,0,0,0.00356125356125356,0.0202702702702703,0.4,0,0
"1700041G16Rik",0.000390510592599824,0,0,0,0,0,0.00641025641025641,0,0.02,0,0.00854700854700855
"1700047K16Rik",0.000878648833349605,0,0,0,0,0,0,0,0,0,0
"1700047M11Rik",0.000878648833349605,0,0,0,0,0.355029585798817,0.201566951566952,0.0405405405405405,0,0.00497512437810945,0.00854700854700855
"1700048O20Rik",0.00341696768524846,0.0112359550561798,0.00958904109589041,0.0353982300884956,0,0,0.014957264957265,0.00675675675675676,0,0,0.00854700854700855
